benchmark,mesh_strategy,physics_variant,kappa,num_nodes,num_triangles,energy,normalized_energy,boundary_error_l2_sq,bulk_error_l2_K,boundary_hhalf_norm,boundary_rate_ratio,iterations,residual_inf,accepted_step,solver,certified,solution_min,solution_max,max_bv_exponent_argument,exponential_clamp_active,exact_energy_constant,exact_constant_ratio
single_junction_mixed,graded,asymmetric,1.4e-07,9730,19044,0.30209314100444745,0.019142082729588224,9.254179997484742e-08,2.0191709638079994e-06,1.7149746306024811,0.041884972135546365,1.0,5.397491809056021e-08,-1.0,L-BFGS-B,False,-0.2,0.19995355307182575,33.252,False,0.02546479089470326,0.7517078309710301
single_junction_mixed,graded,asymmetric,1.3e-07,9730,19044,0.3054363704650081,0.01926346776568387,8.592791277535514e-08,1.8910219749484229e-06,1.7220488017443099,0.041687382834258324,5.0,2.4957466372655373e-12,1.0,Newton,True,-0.2,0.19995355307182575,33.252,False,0.02546479089470326,0.7564746101917027
single_junction_mixed,graded,asymmetric,1.2e-07,9730,19044,0.3091522647005467,0.019399890013109395,7.931272135987719e-08,1.7615856552263687e-06,1.729698926032361,0.04147519541631037,1.0,1.2698347856554548e-07,-1.0,L-BFGS-B,False,-0.2,0.19995355307182575,33.252,False,0.02546479089470326,0.7618318993204307
single_junction_mixed,graded,asymmetric,1.1e-07,9730,19044,0.31332451292977176,0.019554934034026323,7.269560529853705e-08,1.630753185250787e-06,1.7378155965785065,0.04124558368876497,1229.0,0.003026005295252765,-1.0,L-BFGS-B,False,-0.2,0.19995355307182575,33.252,False,0.02546479089470326,0.7679204637841263
single_junction_mixed,graded,asymmetric,1e-07,9730,19044,0.31808087893646364,0.019734395788720348,6.607261384063654e-08,1.4983951620558836e-06,1.7463016185981506,0.04099281656558982,3862.0,0.012884323099822861,-1.0,L-BFGS-B,False,-0.2,0.19995355307182575,33.252,False,0.02546479089470326,0.7749679104109648
multi_junction_mixed,graded,asymmetric,1.0,15045,29400,0.006033977154917505,0.006033977154917505,0.0009081232209502912,0.0007978184251216836,0.13457937681947385,nan,8.0,7.319607854330409e-14,1.0,Newton,True,-0.1380044405699098,-0.08112956042880139,28.0983091445766,False,0.07639437268410978,nan
multi_junction_mixed,graded,asymmetric,0.1,15045,29400,0.024589248624930574,0.010678974991954472,0.0006846815348289102,0.0007247257458338564,0.3562073837942413,0.0029735341243724484,6.0,9.889497207260511e-12,1.0,Newton,True,-0.15705742520007068,-0.03657263419104918,29.682183756881873,False,0.07639437268410978,0.13978745576080534
multi_junction_mixed,graded,asymmetric,0.01,15045,29400,0.06900488170714741,0.014984219674900384,0.00044486959607057774,0.0006255676674042553,0.6823335072680053,0.009660220536999024,1.0,7.533610488913434e-10,-1.0,L-BFGS-B,True,-0.17832748732534798,0.01600824645254147,31.450364021356176,False,0.07639437268410978,0.19614297687684445
multi_junction_mixed,graded,asymmetric,0.003,15045,29400,0.10647866693273392,0.01832949664180636,0.0003322216121531761,0.0005655626021969078,0.8878143749520265,0.019063145384618202,6.0,5.3728912723294967e-14,1.0,Newton,True,-0.18831361181000464,0.04510858319150642,32.28051054976569,False,0.07639437268410978,0.23993254997457344
multi_junction_mixed,graded,asymmetric,0.001,15045,29400,0.15048335366500806,0.02178469670500283,0.00024197556737284718,0.0005031510230870754,1.091785102535499,0.035029551221812026,6.0,6.737625113338366e-14,1.0,Newton,True,-0.1946352577515842,0.0723393606195457,32.806028976889195,False,0.07639437268410978,0.28516101303799435
